image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
91982784_616869828895761_3007961100005146624_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91982784_616869828895761_3007961100005146624_n.jpg,2424,627,2550,1878,18,0.5870490670204163,3024,4032
IMG_20200331_123337.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123337.jpg,673,527,822,623,19,0.4048520028591156,1600,1200
IMG_20200331_123337.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123337.jpg,446,151,845,290,18,0.5085194706916809,1600,1200
IMG_20200331_123337.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123337.jpg,668,342,784,437,14,0.31180939078330994,1600,1200
91786044_213027533363608_447517377286897664_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91786044_213027533363608_447517377286897664_n.jpg,314,1599,771,1673,18,0.5101895928382874,3024,4032
91786044_213027533363608_447517377286897664_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91786044_213027533363608_447517377286897664_n.jpg,561,1018,2335,1271,2,0.48340722918510437,3024,4032
91786044_213027533363608_447517377286897664_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91786044_213027533363608_447517377286897664_n.jpg,643,718,1394,1053,0,0.8304460048675537,3024,4032
91872126_2942342819166981_1697034435842539520_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91872126_2942342819166981_1697034435842539520_n.jpg,1143,1627,1376,1978,19,0.4539192318916321,3024,3024
91872126_2942342819166981_1697034435842539520_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91872126_2942342819166981_1697034435842539520_n.jpg,201,1238,325,1861,18,0.7009382843971252,3024,3024
91872126_2942342819166981_1697034435842539520_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91872126_2942342819166981_1697034435842539520_n.jpg,696,1008,909,1359,12,0.3006557822227478,3024,3024
91872126_2942342819166981_1697034435842539520_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91872126_2942342819166981_1697034435842539520_n.jpg,553,1402,2415,1637,2,0.3891716003417969,3024,3024
IMG_20200331_123243.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123243.jpg,655,921,1025,1030,18,0.795617401599884,1600,1200
IMG_20200331_123256.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123256.jpg,653,470,836,686,19,0.44561532139778137,1600,1200
IMG_20200331_123256.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123256.jpg,703,493,850,542,18,0.40255749225616455,1600,1200
IMG_20200331_123256.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123256.jpg,1140,473,1188,811,18,0.5926748514175415,1600,1200
IMG_20200331_123256.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123256.jpg,338,500,395,827,18,0.9220163822174072,1600,1200
IMG_20200331_123256.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123256.jpg,508,458,569,649,12,0.6337839365005493,1600,1200
IMG_20200331_123258.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123258.jpg,308,544,522,846,18,0.4492386281490326,1600,1200
IMG_20200331_123258.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123258.jpg,381,525,458,860,18,0.9185963869094849,1600,1200
IMG_20200331_123258.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123258.jpg,830,474,915,626,12,0.2616455554962158,1600,1200
91883181_1053988244985598_4020965558089416704_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91883181_1053988244985598_4020965558089416704_n.jpg,1326,733,1765,844,18,0.26541557908058167,3024,4032
91883181_1053988244985598_4020965558089416704_n.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/91883181_1053988244985598_4020965558089416704_n.jpg,788,1472,1361,1561,10,0.3340383768081665,3024,4032
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,404,1007,655,2166,18,0.5552886128425598,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,1899,1077,2157,1989,18,0.6982121467590332,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,1193,1787,1529,2472,12,0.38190245628356934,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,1277,1704,1428,2541,12,0.9426470994949341,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,1594,1716,1866,2087,11,0.2604333758354187,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,1226,711,1371,1420,7,0.9566894173622131,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,1599,1000,1838,1399,3,0.32208648324012756,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,1594,1716,1866,2087,3,0.32879045605659485,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,716,977,1032,1388,3,0.5981031656265259,3024,3024
trained.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/trained.jpg,830,1404,1796,1770,2,0.6495397090911865,3024,3024
IMG_20200331_123253.jpg,/home/oliv/Documents/mlHollf/TrainYourOwnYOLO/Data/Source_Images/Test_Images/IMG_20200331_123253.jpg,381,560,566,781,19,0.5705888867378235,1600,1200
