image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,391,1669,476,2025,12,0.9274272322654724,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,398,1245,490,1564,11,0.9197298288345337,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,1222,590,1539,916,10,0.8370645642280579,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,828,472,1010,700,9,0.332437127828598,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,796,1726,996,1885,9,0.4139634072780609,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,325,801,501,1044,9,0.42193686962127686,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,336,507,508,717,9,0.43994641304016113,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,785,1363,1003,1551,9,0.46261486411094666,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,816,780,985,1031,9,0.46459391713142395,3024,3024
20200415_150211.jpg,C:\Users\benja\OneDrive\Desktop\Kand\mlHollf\TrainYourOwnYOLO\Data\Source_Images\Test_Images\20200415_150211.jpg,824,2123,1012,2308,9,0.46740996837615967,3024,3024
